诗词,作者,朝代
岳阳楼,元稹,唐代
咏雪,吴均,南北朝
摊破浣溪沙·揉破黄金万点轻,李清照,宋代
落梅,刘克庄,宋代
品令·茶词,黄庭坚,宋代
江神子·赋梅寄余叔良,辛弃疾,宋代
红梅三首·其一,苏轼,宋代
咏牡丹,王溥,宋代
还自广陵,秦观,宋代
香菱咏月·其三,曹雪芹,清代
蟾宫曲·咏西湖,奥敦周卿,元代
观放白鹰二首,李白,唐代
霜天晓角·桂花,谢懋,宋代
庭前菊,韦庄,唐代
齐天乐·蝉,王沂孙,宋代
野菊,李商隐,唐代
微雨,李商隐,唐代
未展芭蕉,钱珝,唐代
清平乐·雪,孙道绚,宋代
南轩松,李白,唐代
五言诗·井,毛泽东,近现代
鹧鸪天·寻菊花无有戏作,辛弃疾,宋代
无俗念·灵虚宫梨花词,丘处机,宋代
洞仙歌·咏柳,苏轼,宋代
定风波·红梅,苏轼,宋代
咏雨,李世民,唐代
暗香疏影,姜夔,宋代
螃蟹咏,曹雪芹,清代
少年游·栏干十二独凭春,欧阳修,宋代
莺梭,刘克庄,宋代
严郑公宅同咏竹,杜甫,唐代
点绛唇·素香丁香,王十朋,宋代
南中咏雁诗,韦承庆,唐代
卖残牡丹,鱼玄机,唐代
菊,郑谷,唐代
秋莲,刘因,元代
古风·其二十六,李白,唐代
咏新竹,际智,清代
咏梧桐,郑燮,清代
菊,罗隐,唐代
昭君怨·梅花,郑域,宋代
洞仙歌·雪云散尽,李元膺,宋代
诉衷情·送春,万俟咏,宋代
南乡子·梅花词和杨元素,苏轼,宋代
八月十二日夜诚斋望月,杨万里,宋代
高阳台·西湖春感,张炎,宋代
蝉赋,曹植,两汉
咏蟹 / 咏螃蟹呈浙西从事,皮日休,唐代
蓦山溪·梅,曹组,宋代
念奴娇·闹红一舸,姜夔,宋代
望海楼,米芾,宋代
咏初日,赵匡胤,宋代
念奴娇·插天翠柳,朱敦儒,宋代
野菊,杨万里,宋代
芦花,雍裕之,唐代
花犯·小石梅花,周邦彦,宋代
踏莎行·雪中看梅花,王旭,元代
春居杂兴·两株桃杏映篱斜,王禹偁,宋代
残叶,李觏,宋代
晚桃花,白居易,唐代
牡丹,罗隐,唐代
忆秦娥·梅谢了,刘克庄,宋代
玉楼春·红酥肯放琼苞碎,李清照,宋代
归燕诗,张九龄,唐代
闻鹊喜·吴山观涛,周密,宋代
双双燕·小桃谢后,吴文英,宋代
咏萤,虞世南,唐代
绵州巴歌,佚名,隋代
乌江,汪遵,唐代
卜算子·新柳,纳兰性德,清代
点绛唇·梅,朱翌,宋代
浣溪沙·杨花,陈子龙,明代
蝶恋花·笑艳秋莲生绿浦,晏几道,宋代
劲草行,王冕,元代
望江南·咏弦月,纳兰性德,清代
双井茶送子瞻,黄庭坚,宋代
瓠叶,佚名,先秦
赏春 / 芳草 / 春游郁然有怀赋,罗邺,唐代
眉妩·新月,王沂孙,宋代
题李次云窗竹,白居易,唐代
咏秋柳,纪映淮,清代
一丛花·咏并蒂莲,纳兰性德,清代
柳梢青·茅舍疏篱,杨无咎,宋代
绮罗香·红叶,张炎,宋代
咏白海棠,曹雪芹,清代
白燕,袁凯,明代
东风第一枝·咏春雪,史达祖,宋代
摸鱼儿·观潮上叶丞相,辛弃疾,宋代
减字木兰花·花,苏轼,宋代
咏秋兰,静诺,清代
水仙子·寻梅,乔吉,元代
咏槿,李白,唐代
采苓,佚名,先秦
咏桂,李白,唐代
山鬼谣·问何年,辛弃疾,宋代
咏萤诗,萧纲,南北朝
萤火,杜甫,唐代
观梅有感,刘因,元代
群鹤咏,萧道成,南北朝
燕归梁·风莲,蒋捷,宋代
早梅,谢燮,南北朝
望岳三首·其二,杜甫,唐代
